symbol,investment,profit,roi
A,33262.51905000001,315.1112369999981,0.95
AA,84093.15879700017,-808.6531309999988,-0.96
AAIC,158983.21999700027,-4440.54934399999,-2.79
AAN,0,0,NaN
AAP,80179.68661999996,-963.4430740000081,-1.20
AAT,17408.249992999994,473.18016700000095,2.72
AB,44625.959991000076,-602.0675689999958,-1.35
ABB,17324.980016999983,-14.990093999998862,-0.09
ABBV,27608.770006000006,1757.479932,6.37
ABC,47731.80940099998,2141.214265000003,4.49
ABEV,4423.229597000003,15.52852200000019,0.35
ABG,32892.699988,607.6900019999975,1.85
ABM,30853.337469000006,1076.1757349999998,3.49
ABR,10620.509999999991,-671.1099859999977,-6.32
ABT,32301.422737999994,1186.5396850000002,3.67
AC,10702.760748999994,395.6212889999995,3.70
ACA,1800.899992,217.7400030000001,12.09
ACB,14913.999998000012,-3080.433897,-20.65
ACC,29874.52999599999,419.5497110000001,1.40
ACCO,11528.610009999986,203.81996600000014,1.77
ACEL,1392.0799999999995,-133.4699999999999,-9.59
ACH,19004.565010000006,-773.8175900000014,-4.07
ACI,0,0,NaN
ACIC,0,0,NaN
ACM,21642.639953999987,1322.8600589999996,6.11
ACN,51045.36994000006,2406.4797260000005,4.71
ACND,0,0,NaN
ACP,8745.249049,-181.62629300000103,-2.08
ACRE,6358.849995000008,157.3100049999996,2.47
ACV,3166.4979920000005,135.04998799999993,4.26
ADC,40775.05502399994,813.8650969999992,2.00
ADCT,1066.0500090000003,66.80998099999998,6.27
ADM,43309.83495499999,741.4180990000008,1.71
ADNT,10643.460031999995,-3523.0600900000045,-33.10
ADS,116028.63004199999,474.7296690000004,0.41
ADT,1120.5800000000004,76.78000000000011,6.85
ADX,23728.771677999976,-19.546789000000516,-0.08
AEB,18188.860029999993,-425.1300889999992,-2.34
AEE,52907.121837000064,-2050.4818509999996,-3.88
AEFC,605.9050009999999,-224.29500099999998,-37.02
AEG,21969.960794000035,157.69990499999838,0.72
AEL,14461.269986000007,754.2499600000001,5.22
AEM,51820.42681800001,1840.9470290000006,3.55
AENZ,4574.170002999996,-1304.569938000001,-28.52
AEO,19623.87879799999,488.1788089999997,2.49
AER,17910.839991999997,968.8601970000009,5.41
AES,22022.582883000025,-2818.2152999999958,-12.80
AFB,13606.590000999997,-25.000001000000566,-0.18
AFC,16618.250013000008,-140.52014600000106,-0.85
AFG,53034.63664599996,1069.7217980000014,2.02
AFGB,518.128999,-241.078999,-46.53
AFGC,401.170003,-101.92000299999998,-25.41
AFGD,191.795001,-191.795001,-100.00
AFGE,53.713001000000006,-53.713001000000006,-100.00
AFI,4087.2279949999984,-366.3379800000001,-8.96
AFL,28054.78523599995,1130.338673000001,4.03
AFT,11201.390004000003,-160.74006700000115,-1.44
AG,7363.369993000004,178.4600119999998,2.42
AGCB,0,0,NaN
AGCO,52677.708277000056,784.1785200000005,1.49
AGD,12995.420022000008,-616.9001209999988,-4.75
AGI,7306.579993999987,179.28998500000006,2.45
AGM,39138.878753999976,1165.0112769999996,2.98
AGO,20767.45998300002,1131.5400419999999,5.45
AGR,12678.519959000005,-754.0298070000001,-5.95
AGRO,6163.930000000008,246.29999999999998,4.00
AGS,2615.5599990000023,-183.02999899999978,-7.00
AGX,29665.35746,908.3449309999988,3.06
AHC,4786.32999999999,-80.85999999999972,-1.69
AHH,4430.339994999997,172.23000600000012,3.89
AHT,58968.50945599998,-165.35114499999895,-0.28
AI,0,0,NaN
AIC,6573.0250209999995,83.27892799999981,1.27
AIF,7947.439986999995,-101.79998800000078,-1.28
AIG,1001134.8588880004,-80620.40095599988,-8.05
AIN,49749.20381200006,1254.5093080000006,2.52
AIO,183.85499999999996,42.50500000000002,23.12
AIR,35373.09872700002,428.55511499999847,1.21
AIRC,0,0,NaN
AIT,40124.98967899995,1250.5263850000006,3.12
AIV,6575.364788000012,146.80852799999963,2.23
AIW,9159.290025999999,90.42000099999952,0.99
AIZ,40715.28998699994,337.14001199999905,0.83
AIZN,0,0,NaN
AIZP,10969.596982999998,241.4928320000007,2.20
AJAX,0,0,NaN
AJG,40233.44626499993,1323.0261369999994,3.29
AJRD,26670.92215499998,1007.1926640000003,3.78
AJX,4588.6299999999965,120.44999999999969,2.62
AJXA,4540.015988,98.15598500000053,2.16
AKR,28234.360036999988,24.774936999998488,0.09
AL,15124.419985999988,864.7300039999996,5.72
ALB,53851.54245900004,3233.1559799999995,6.00
ALC,3889.9699929999992,235.81996800000013,6.06
ALE,96949.8837430001,-459.1628370000019,-0.47
ALEX,16336.02000899999,620.1699999999992,3.80
ALG,46153.12749100002,2184.3678429999986,4.73
